"date","tmed","tmax","tmin","hr","wind","rain","rad"
"2019-04-29",57.68,85.83,30.08,321.38,4.91,0,1045.5264
"2019-05-15",75.3,117.17,30.88,330.67,4.5,0,1192.06944
"2019-05-27",68.96,95.88,42.16,301.56,7.46,0,1196.32896
"2019-06-12",60.01,83.82,29.31,297.08,6.79,0,1221.81696
"2019-06-26",72.94,92.24,53.68,348.52,3.2,2.8,525.41568
"2020-06-18",68.41,89.94,40.24,311.52,5.56,0.2,1187.4384
"2021-02-11",54.78,64.13,44.74,303.59,9.46,9.6,273.9312
"2021-03-03",45.28,75.55,17.28,303.23,3.97,0.2,577.584
"2021-03-18",52.26,92.34,13.91,233.66,5.53,0,875.3616
"2021-03-31",68.37,99.36,36.01,228.61,5.77,0,658.1088
"2021-04-14",57.75,78.05,36.06,302.5,3.84,15,570.83616
"2021-04-28",59.4,80.67,43.09,301.48,3.52,16.2,657.83232
"2021-05-12",56.28,72.55,34.96,294.57,6.08,26.6,913.51584
"2021-05-19",62.88,83.05,35.61,292.76,4.83,1.4,837.95904
"2021-05-26",57.74,84.58,28.06,291.49,5.38,2.8,1061.41536
"2021-06-08",68.14,89.55,46.34,298.42,6.84,0,1138.43232
"2021-06-22",68.52,82.06,53.89,307.51,6.07,8.4,789.88608
"44606",38.26,69.23,10.53,330,5,7.4,367.88256
"44622",41.81,73.97,12.37,325.59,4.1,3.4,479.93472
"44635",42.03,66.97,18.29,333.15,0.48,14.6,338.7744
